Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Body area (product.metafields.shopify.body-area),Color (product.metafields.shopify.color-pattern),Cosmetic finish (product.metafields.shopify.cosmetic-finish),Cosmetic function (product.metafields.shopify.cosmetic-function),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance (product.metafields.shopify.fragrance),Gift set format (product.metafields.shopify.gift-set-format),Material (product.metafields.shopify.material),Occasion (product.metafields.shopify.occasion),Olfactory family (product.metafields.shopify.olfactory-family),Package type (product.metafields.shopify.package-type),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Size (product.metafields.shopify.size),Skin care effect (product.metafields.shopify.skin-care-effect),Target gender (product.metafields.shopify.target-gender),Texture (product.metafields.shopify.texture),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
oud-incendiare-veil,Oud Incendiare Veil,"<p><strong>Oud Incendiare Veil </strong></p>
<p><strong>Smoky. Addictive. Untamed Luxury.</strong></p>
<p> </p>
<ul data-start=""1493"" data-end=""1575"">
<li data-start=""1493"" data-end=""1510"">
<p><strong>Oud Incendiare Veil is a commanding couture fragrance crafted for the person who enters quietly yet leaves an unforgettable impression. Rich oud woods collide with glowing spice, warm vanilla, dark amber, and seductive smoke to create a scent that feels powerful, expensive, and dangerously addictive.</strong></p>
<p><strong>The opening ignites with a bold rush of fiery warmth and radiant spice — instantly magnetic, smooth, and attention-grabbing without feeling harsh. As it settles onto the skin, creamy woods and velvety vanilla begin to unfold, wrapping the fragrance in a luxurious heat that feels both sensual and refined.</strong></p>
<p><strong>At the heart of the fragrance lies a dark elegance: smoky oud, ambered sweetness, and soft resinous depth melting together into a rich, slow-burning aura. The dry-down is smooth, lingering, and deeply intoxicating — the kind of scent trail people remember long after you leave the room.</strong></p>
<p><strong>Oud Incendiare Veil balances strength with sophistication, making it equally seductive for evening wear, luxury events, intimate dinners, and signature everyday power dressing. It carries the energy of a niche fragrance house — bold, expensive, mysterious, and effortlessly magnetic.</strong></p>
<p><strong>Vibe</strong></p>
<ul>
<li><strong>Velvet smoke curling through a luxury suite</strong></li>
<li><strong>Midnight in Dubai energy</strong></li>
<li><strong>Designer black outfit + gold jewelry</strong></li>
<li><strong>Soft leather seats, candlelight, and expensive silence</strong></li>
<li><strong>Confident. Seductive. Elite. Addictive.</strong></li>
</ul>
<p><strong>Fragrance Aura</strong></p>
<p><strong>Smoky Woods • Warm Vanilla • Dark Amber • Spiced Oud • Addictive Skin Musk</strong></p>
<p><strong>Perfect For</strong></p>
<p><strong>Luxury evenings • Date nights • VIP events • Signature scent lovers • Lovers of bold niche fragrances</strong></p>
<p><strong>Mood</strong></p>
<p><strong>Powerful yet smooth. Dark yet inviting. Smoky yet creamy. A fragrance designed to command attention without ever needing to ask for it.</strong></p>
<p><strong>• Crafted By: Maison Veil — a luxury fragrance house known for modern, addictive compositions designed to elevate everyday moments.</strong></p>
</li>
</ul>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"",true,Size,10ml,,,,,,,,,100.0,shopify,100,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/Muse_Imp_riale_109c447f-9e6c-4cb7-87ac-c1f5397b5f20.png?v=1779799261,1,"",false,Oud incendiare Veil  | Maison Veil,"A bold smoky oud wrapped in glowing spice, dark vanilla, and molten woods. Rich, seductive, and commanding with a luxurious trail that lingers like fire on skin.",,,,,,,,,,special-occasion,,,,veil-of-fire-fragrance-notes-top-notes-radiant-tropical-fruits-juicy-mango-bright-citrus-spark-heart-notes-lush-rose-soft-white-florals-sun-warmed-sweetness-base-notes-golden-amber-smooth-vanilla-warm-woods; floral,fall; spring; summer; winter,,,,,,g,,,active
oud-incendiare-veil,,,,,,,,,30ml,,,,,,,,,100.0,shopify,97,deny,manual,35.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/6F4AFA17-792C-4916-8D20-65E7DC4E70BF.jpg?v=1779800095,2,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,
oud-incendiare-veil,,,,,,,,,50ml,,,,,,,,,100.0,shopify,99,deny,manual,50.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/C8FE7F5C-7D91-444D-AA74-3E5F73E20BE6.png?v=1779800095,3,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,
oud-incendiare-veil,,,,,,,,,100ml,,,,,,,,,100.0,shopify,100,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
gentlemen-s-collection,GENTLEMEN’S COLLECTION,"<p><span>The Gentleman’s Reserve by Maison Veil is a curated Father’s Day discovery experience featuring five luxury extrait fragrances crafted for the modern man. From smoky oud and rich leather to clean cardamom and amber woods, each scent is designed to leave a lasting impression.</span></p>
<p><span>Includes:</span></p>
<ul>
<li><span>5 x 5ml extrait fragrances</span></li>
<li><span>Luxury gift-ready packaging</span></li>
<li><span>Limited Father’s Day edition card insert</span></li>
</ul>
<p><span>Perfect for gifting, travel, layering, and discovering your signature Maison Veil scent.</span></p>",Maison Veil ,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Perfume Sample & Discovery Sets,"","",true,Title,Default Title,,,,,,,,,1360.77711,shopify,47,deny,manual,65.00,75.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/PHOTO-2026-05-25-15-14-47.jpg?v=1779740551,1,"",false,Maison Veil Gentleman’s Reserve | Father’s Day Discovery Set,Explore Maison Veil’s Gentleman’s Reserve — a luxury Father’s Day discovery set featuring five extrait fragrances for the modern man.,adults,,,,,,spicy; veil-of-fire-fragrance-notes-top-notes-radiant-tropical-fruits-juicy-mango-bright-citrus-spark-heart-notes-lush-rose-soft-white-florals-sun-warmed-sweetness-base-notes-golden-amber-smooth-vanilla-warm-woods,,glass,special-occasion,,,oil,,summer,,,,,,lb,,65.00,active
untitled-may13_16-07,Untitled May13_16:07,,Maison Veil ,,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",,,,false,,,,,,,,,,,,,,,,,,,,,,,lb,,,draft
vanilla-coco-glow-shimmer-oil,Vanilla Coco Glow — Shimmer Oil,"<p><span>A golden veil of warmth, glow, and soft luxury.</span></p>
<p><span>Vanilla Coco Glow is Maison Veil’s luminous body oil designed to leave the skin radiant, silky, and unforgettable. Infused with shimmering golden glow and wrapped in creamy vanilla coconut warmth, this couture body oil melts effortlessly into the skin while leaving behind an addictive scent trail.</span></p>
<p><span>Think sunlit skin, soft cashmere, warm vacations, and compliments that linger.</span></p>
<p><span>Perfect for:</span></p>
<ul>
<li><span>everyday luxury</span></li>
<li><span>date nights</span></li>
<li><span>vacations</span></li>
<li><span>bridal glow</span></li>
<li><span>layering with your favorite perfumes</span></li>
</ul>
<p><span>Scent Profile:</span><span><br> </span><span>Creamy vanilla • soft coconut • warm tonka • skin musk</span></p>
<p><span>Finish:</span><span><br> </span><span>Illuminating shimmer glow</span></p>",Maison Veil ,Health & Beauty > Personal Care > Cosmetics > Skin Care > Body Oil,Luxury Shimmer Body Oil,"Coconut vanilla, Glowing skin, Luxury body oil, Maison veil, Perfume body oil, Shimmer oil, Tropical vanilla, Vanilla body oil",true,Title,Default Title,,,,,,,,,0.0,shopify,30,deny,manual,68.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/D2064D10-6AC1-4A9F-A70D-FF34C9EB550C.png?v=1778701581,1,"",false,Vanilla Coco Glow | Luxury Shimmer Body Oil – Maison Veil,,adults,full-body,,shimmer,soothing; glowing-enhancing,,vanilla,,glass,,,bottle,oil,,,,moisturizing,,silky,,lb,,68.00,active
mother-s-day-discovery-box,Mother’s Day Discovery Box,"<p>Celebrate her with the Maison Veil Mother’s Day Discovery Box — a limited edition luxury fragrance experience featuring 5 signature scents curated to embody softness, elegance, femininity, and timeless beauty.</p>
<p>Each box includes:<br>• 5 luxury fragrance samples (5 ml each) <br>• Elegant Mother’s Day packaging <br>• Signature Maison Veil insert cards <br>• Ready-to-gift presentation</p>
<p>Featured scents:<br>• Blush Silk Veil <br>• Fraise Impériale <br>• Pistachio Rose Crème Brûlée <br>• Rosé Éclat Impériale <br>• Vanilla Coco Tux</p>
<p>Perfect for mothers, wives, sisters, friends, or the woman who deserves something unforgettable.</p>
<p>Limited quantities available for Mother’s Day.</p>",Maison Veil ,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,36,deny,manual,45.00,55.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/BF0E60B5-60C9-4637-9289-06601C947106.png?v=1778253922,1,"",false,Maison Veil Mother’s Day Discovery Box | Limited Edition,,,,,,,,,,,,,,,,,,,,,,lb,,45.00,active
muse-imperiale,Muse Impériale,"<p><strong>Muse Impériale<span class=""Apple-converted-space""> </span></strong></p>
<p data-start=""249"" data-end=""283""><strong data-start=""249"" data-end=""283"">Bold. Luminous. Unforgettable.</strong></p>
<p><span>Muse Impériale is a modern, feminine fragrance that balances sweetness with a striking edge. It opens with luminous fruity brightness before unfolding into velvety florals that feel soft, radiant, and effortlessly elegant.</span></p>
<p> </p>
<p><span>As the scent develops, creamy warmth and subtle woods emerge, creating a smooth, addictive dry-down that lingers beautifully on the skin. The result is a fragrance that feels both delicate and confident — playful yet refined.</span></p>
<p> </p>
<p><span>Designed for the woman who commands attention without trying, Muse Impériale is the perfect blend of softness and strength.</span></p>
<hr data-start=""925"" data-end=""928"">
<h3 data-start=""930"" data-end=""957""> <strong data-start=""936"" data-end=""957"">Fragrance Profile</strong>
</h3>
<ul data-start=""958"" data-end=""1102"">
<li data-start=""958"" data-end=""992"">
<p><span>Top Notes:</span><span> luminous fruits, sparkling citrus, pink spice</span></p>
<p><span>Heart Notes:</span><span> velvety florals, soft petals, creamy blossoms</span></p>
<p><span>Base Notes:</span><span> warm woods, smooth musk, golden sweetness</span></p>
</li>
</ul>
<hr data-start=""1104"" data-end=""1107"">
<h3 data-start=""1109"" data-end=""1128"">🖤 <strong data-start=""1116"" data-end=""1128"">The Vibe</strong>
</h3>
<h3 data-start=""1109"" data-end=""1128"">Radiant • Feminine • Addictive • Modern Luxury</h3>
<ul data-start=""1129"" data-end=""1258"">
<li data-start=""1129"" data-end=""1150"">
<p> </p>
<p><span>Perfect for everyday elegance, special occasions, and signature scent moments.</span></p>
</li>
</ul>
<hr data-start=""1260"" data-end=""1263"">
<h3 data-start=""1265"" data-end=""1294""> <strong data-start=""1272"" data-end=""1294"">Why You’ll Love It</strong>
</h3>
<ul data-start=""1295"" data-end=""1467"">
<li data-start=""1295"" data-end=""1326"">
<p><span>• Perfect balance of sweet and spicy – a luminous fruity opening softened by velvety florals and finished with warm, addictive depth.</span></p>
<p> </p>
<p><span>• Modern feminine luxury – elegant, smooth, and effortlessly captivating without feeling overpowering.</span></p>
<p> </p>
<p><span>• Long-lasting and memorable – designed to linger beautifully on the skin and leave a subtle, sophisticated trail.</span></p>
<p> </p>
<p><span>• Versatile signature scent – perfect for everyday wear, special occasions, and moments when you want to feel confident and radiant.</span></p>
<p> </p>
<p style=""text-align: left;""><span>• Layering friendly – pairs beautifully with Maison Veil body oils for an even richer scent experience.</span></p>
</li>
</ul>
<hr data-start=""1469"" data-end=""1472"">
<h3 data-start=""1474"" data-end=""1492""> <strong data-start=""1481"" data-end=""1492"">Details</strong>
</h3>
<ul data-start=""1493"" data-end=""1575"">
<li data-start=""1493"" data-end=""1510"">
<p><strong>• Fragrance Family: Fruity Floral Woods</strong></p>
<p> </p>
<p><strong>• Scent Profile: Bright fruits, velvety florals, and warm creamy woods</strong></p>
<p> </p>
<p><strong>• Longevity: Long-lasting Eau de Parfum designed to linger beautifully on the skin</strong></p>
<p> </p>
<p><strong>• Projection: Soft to moderate — noticeable yet elegant</strong></p>
<p> </p>
<p><strong>• Best For: Everyday luxury, special occasions, bridal events, and signature scent lovers</strong></p>
<p> </p>
<p><strong>• Season: Perfect year-round, especially beautiful in spring, summer, and early fall</strong></p>
<p> </p>
<p><strong>• Layering Tip: Enhance longevity by pairing with Maison Veil body oils for a richer, more immersive scent experience</strong></p>
<p> </p>
<p><strong>• Crafted By: Maison Veil — a luxury fragrance house known for modern, addictive compositions designed to elevate everyday moments.</strong></p>
</li>
</ul>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"",true,Size,10ml,,,,,,,,,100.0,shopify,99,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/Aurora_Bloom.png?v=1788482965,1,"",false,Veil of Fire | Maison Veil,"Veil of Fire by Maison Veil is a bold, luminous fragrance blending radiant tropical fruits, soft florals, and warm ambered woods for a confident, unforgettable scent experience. Amber • Vanilla • Warm Woods",,,,,,,,,,special-occasion,,,,veil-of-fire-fragrance-notes-top-notes-radiant-tropical-fruits-juicy-mango-bright-citrus-spark-heart-notes-lush-rose-soft-white-florals-sun-warmed-sweetness-base-notes-golden-amber-smooth-vanilla-warm-woods; floral,fall; spring; summer; winter,,,,,,g,,,active
muse-imperiale,,,,,,,,,30ml,,,,,,,,,100.0,shopify,99,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
muse-imperiale,,,,,,,,,50ml,,,,,,,,,100.0,shopify,100,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
muse-imperiale,,,,,,,,,100ml,,,,,,,,,100.0,shopify,100,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
coco-vanille-tux-body-oil,Coco Vanille Tux Body Oil,"<h2 data-start=""225"" data-end=""247"">COc Vanille Tux </h2>
<p><span>MAISON VEIL</span></p>
<p> </p>
<p><span>Coco Vanille Tux Body Oil</span></p>
<p> </p>
<p><span>A decadent blend of creamy vanilla, coconut silk, and warm tonka with a sophisticated tuxedo finish. Designed to melt into the skin for a luminous glow and irresistible scent.</span></p>
<p> </p>
<p><span>Directions: Apply to damp skin after shower.</span></p>
<p> </p>
<p><span>Ingredients: Sweet Almond Oil, Jojoba Oil, Fractionated Coconut Oil, Vitamin E, Fragrance.</span></p>
<hr data-start=""925"" data-end=""928"">
<h3 data-start=""930"" data-end=""957""> <strong data-start=""936"" data-end=""957"">Fragrance Profile</strong>
</h3>
<ul data-start=""958"" data-end=""1102"">
<li data-start=""958"" data-end=""992"">
<p data-start=""960"" data-end=""992""><strong data-start=""960"" data-end=""968"">Top:</strong> Radiant fruity warmth</p>
</li>
<li data-start=""993"" data-end=""1039"">
<p data-start=""995"" data-end=""1039""><strong data-start=""995"" data-end=""1005"">Heart:</strong> Soft florals with glowing depth</p>
</li>
<li data-start=""1040"" data-end=""1102"">
<p data-start=""1042"" data-end=""1102""><strong data-start=""1042"" data-end=""1051"">Base:</strong> Ambered woods, smooth, sensual, and long-lasting</p>
</li>
</ul>
<hr data-start=""1104"" data-end=""1107"">
<h3 data-start=""1109"" data-end=""1128"">🖤 <strong data-start=""1116"" data-end=""1128"">The Vibe</strong>
</h3>
<ul data-start=""1129"" data-end=""1258"">
<li data-start=""1129"" data-end=""1150"">
<p data-start=""1131"" data-end=""1150"">Fiery yet elegant</p>
</li>
<li data-start=""1151"" data-end=""1187"">
<p data-start=""1153"" data-end=""1187"">Confident, luminous, and sensual</p>
</li>
<li data-start=""1188"" data-end=""1258"">
<p data-start=""1190"" data-end=""1258"">Perfect for evening wear, special occasions, and signature moments</p>
</li>
</ul>
<hr data-start=""1260"" data-end=""1263"">
<h3 data-start=""1265"" data-end=""1294""> <strong data-start=""1272"" data-end=""1294"">Why You’ll Love It</strong>
</h3>
<ul data-start=""1295"" data-end=""1467"">
<li data-start=""1295"" data-end=""1326"">
<p data-start=""1297"" data-end=""1326"">Warm, addictive scent trail</p>
</li>
<li data-start=""1327"" data-end=""1370"">
<p data-start=""1329"" data-end=""1370"">Compliment-drawing without overpowering</p>
</li>
<li data-start=""1371"" data-end=""1403"">
<p data-start=""1373"" data-end=""1403"">Luxurious on skin and fabric</p>
</li>
<li data-start=""1404"" data-end=""1467"">
<p data-start=""1406"" data-end=""1467"">Designed to evolve beautifully throughout the day and night</p>
</li>
</ul>
<hr data-start=""1469"" data-end=""1472"">
<h3 data-start=""1474"" data-end=""1492""> <strong data-start=""1481"" data-end=""1492"">Details</strong>
</h3>
<ul data-start=""1493"" data-end=""1575"">
<li data-start=""1493"" data-end=""1510"">
<p data-start=""1495"" data-end=""1510"">Eau de Parfum</p>
</li>
<li data-start=""1511"" data-end=""1532"">
<p data-start=""1513"" data-end=""1532"">Long-lasting wear</p>
</li>
<li data-start=""1533"" data-end=""1543"">
<p data-start=""1535"" data-end=""1543"">Unisex</p>
</li>
<li data-start=""1544"" data-end=""1575"">
<p data-start=""1546"" data-end=""1575"">Hand-blended by Maison Veil</p>
</li>
</ul>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Body oil,"",true,Size,2,,,,,,,,,100.0,shopify,98,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/Isla_Dor_e.png?v=1788490059,1,"",false,Veil of Fire | Maison Veil,"Veil of Fire by Maison Veil is a bold, luminous fragrance blending radiant tropical fruits, soft florals, and warm ambered woods for a confident, unforgettable scent experience. Amber • Vanilla • Warm Woods",,,,,,,,,,special-occasion,,,,veil-of-fire-fragrance-notes-top-notes-radiant-tropical-fruits-juicy-mango-bright-citrus-spark-heart-notes-lush-rose-soft-white-florals-sun-warmed-sweetness-base-notes-golden-amber-smooth-vanilla-warm-woods,fall; spring; summer; winter,,,,,,g,,,active
coco-vanille-tux-body-oil,,,,,,,,,30ml,,,,,,,,,100.0,shopify,98,deny,manual,55.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
coco-vanille-tux-body-oil,,,,,,,,,50ml,,,,,,,,,100.0,shopify,100,deny,manual,75.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
coco-vanille-tux-body-oil,,,,,,,,,100ml,,,,,,,,,100.0,shopify,99,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
veil-of-fire,Veil Of Fire,"<h2 data-start=""225"" data-end=""247""> <strong data-start=""231"" data-end=""247"">Veil of Fire</strong>
</h2>
<p data-start=""249"" data-end=""283""><strong data-start=""249"" data-end=""283"">Bold. Luminous. Unforgettable.</strong></p>
<p data-start=""285"" data-end=""586"">Veil of Fire is a radiant expression of heat and elegance — a fragrance that ignites the senses from the first moment and lingers like glowing embers on skin. Juicy, sun-warmed fruits melt into a heart of soft florals, wrapped in golden amber and smooth woods that smolder long after the flame is lit.</p>
<p data-start=""588"" data-end=""800"">This scent is confident and magnetic, balancing brightness with depth. It opens with an intoxicating burst of warmth and sweetness, then settles into a sensual, glowing trail that feels both powerful and refined.</p>
<p data-start=""802"" data-end=""923"">Veil of Fire is not loud — it’s <strong data-start=""834"" data-end=""848"">commanding</strong>.<br data-start=""849"" data-end=""852"">A scent for those who lead with presence, passion, and quiet intensity.</p>
<hr data-start=""925"" data-end=""928"">
<h3 data-start=""930"" data-end=""957""> <strong data-start=""936"" data-end=""957"">Fragrance Profile</strong>
</h3>
<ul data-start=""958"" data-end=""1102"">
<li data-start=""958"" data-end=""992"">
<p data-start=""960"" data-end=""992""><strong data-start=""960"" data-end=""968"">Top:</strong> Radiant fruity warmth</p>
</li>
<li data-start=""993"" data-end=""1039"">
<p data-start=""995"" data-end=""1039""><strong data-start=""995"" data-end=""1005"">Heart:</strong> Soft florals with glowing depth</p>
</li>
<li data-start=""1040"" data-end=""1102"">
<p data-start=""1042"" data-end=""1102""><strong data-start=""1042"" data-end=""1051"">Base:</strong> Ambered woods, smooth, sensual, and long-lasting</p>
</li>
</ul>
<hr data-start=""1104"" data-end=""1107"">
<h3 data-start=""1109"" data-end=""1128"">🖤 <strong data-start=""1116"" data-end=""1128"">The Vibe</strong>
</h3>
<ul data-start=""1129"" data-end=""1258"">
<li data-start=""1129"" data-end=""1150"">
<p data-start=""1131"" data-end=""1150"">Fiery yet elegant</p>
</li>
<li data-start=""1151"" data-end=""1187"">
<p data-start=""1153"" data-end=""1187"">Confident, luminous, and sensual</p>
</li>
<li data-start=""1188"" data-end=""1258"">
<p data-start=""1190"" data-end=""1258"">Perfect for evening wear, special occasions, and signature moments</p>
</li>
</ul>
<hr data-start=""1260"" data-end=""1263"">
<h3 data-start=""1265"" data-end=""1294""> <strong data-start=""1272"" data-end=""1294"">Why You’ll Love It</strong>
</h3>
<ul data-start=""1295"" data-end=""1467"">
<li data-start=""1295"" data-end=""1326"">
<p data-start=""1297"" data-end=""1326"">Warm, addictive scent trail</p>
</li>
<li data-start=""1327"" data-end=""1370"">
<p data-start=""1329"" data-end=""1370"">Compliment-drawing without overpowering</p>
</li>
<li data-start=""1371"" data-end=""1403"">
<p data-start=""1373"" data-end=""1403"">Luxurious on skin and fabric</p>
</li>
<li data-start=""1404"" data-end=""1467"">
<p data-start=""1406"" data-end=""1467"">Designed to evolve beautifully throughout the day and night</p>
</li>
</ul>
<hr data-start=""1469"" data-end=""1472"">
<h3 data-start=""1474"" data-end=""1492""> <strong data-start=""1481"" data-end=""1492"">Details</strong>
</h3>
<ul data-start=""1493"" data-end=""1575"">
<li data-start=""1493"" data-end=""1510"">
<p data-start=""1495"" data-end=""1510"">Eau de Parfum</p>
</li>
<li data-start=""1511"" data-end=""1532"">
<p data-start=""1513"" data-end=""1532"">Long-lasting wear</p>
</li>
<li data-start=""1533"" data-end=""1543"">
<p data-start=""1535"" data-end=""1543"">Unisex</p>
</li>
<li data-start=""1544"" data-end=""1575"">
<p data-start=""1546"" data-end=""1575"">Hand-blended by Maison Veil</p>
</li>
</ul>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"",true,Size,10ml,,,,,,,,,100.0,shopify,100,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/Aurora_Bloom.png?v=1788482965,1,"",false,Veil of Fire | Maison Veil,"Veil of Fire by Maison Veil is a bold, luminous fragrance blending radiant tropical fruits, soft florals, and warm ambered woods for a confident, unforgettable scent experience. Amber • Vanilla • Warm Woods",,,,,,,,,,special-occasion,,,,veil-of-fire-fragrance-notes-top-notes-radiant-tropical-fruits-juicy-mango-bright-citrus-spark-heart-notes-lush-rose-soft-white-florals-sun-warmed-sweetness-base-notes-golden-amber-smooth-vanilla-warm-woods,fall; spring; summer; winter,,,,,,g,,,active
veil-of-fire,,,,,,,,,30ml,,,,,,,,,100.0,shopify,98,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
veil-of-fire,,,,,,,,,50ml,,,,,,,,,100.0,shopify,100,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
veil-of-fire,,,,,,,,,100ml,,,,,,,,,100.0,shopify,100,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
pistachio-rose-creme-brulee,Pistachio Rose Crème Brûlée,"<p><span>Pistachio Rose Crème Brûlée is a sensual gourmand-floral indulgence — where creamy pistachio custard melts into caramelized vanilla sugar and silky rose petals.</span></p>
<p> </p>
<p><span>The opening glows with toasted pistachio and soft sweetness, unfolding into a velvety heart of romantic rose and creamy florals. As it dries down, warm vanilla brûlée, ambered woods, and soft musk linger on the skin like a decadent dessert kissed by couture elegance.</span></p>
<p> </p>
<p><span>Seductive. Addictive. Unforgettable.</span></p>
<p><span>This is dessert-gourmand luxury for fragrance lovers who crave creamy depth, feminine warmth, and compliment-magnet energy.</span></p>
<p> </p>
<p><span>Fragrance Family: Gourmand Floral</span></p>
<p><span>Mood: Cozy-sexy, romantic, indulgent</span></p>
<p><span>Best For: Date nights, evenings, cool weather, gourmand lovers</span></p>
<p><span>Longevity: 8–12 hours</span></p>
<p><span>Projection: Moderate to strong</span></p>
<p> </p>
<p><span>Handcrafted by Maison Veil in Houston, Texas.</span></p>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"Floral Oud, shoptok, Signature Scent, Unisex",true,Volume,10ml,,,,,,,,,100.0,,0,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/IMG-4348.png?v=1768906472,1,"",false,Pistachio Rose Crème Brulee | Maison Veil,"Fragrance Profile

Top Notes
• Sweet pistachio cream
• Burnt sugar accord
• Soft almond-like warmth

Heart Notes
• Velvet rose petals
• Whipped cream accord
• Delicate floral nectar

Base Notes
• Vanilla custard
• Golden amber
• Soft musk
• Caramelized woods
",,,,,,,,,,,,,,,,,,,,,g,,,active
pistachio-rose-creme-brulee,,,,,,,,,30ml,,,,,,,,,100.0,,-4,deny,manual,35.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/56088920-774F-4E40-B938-13200FAA06F8.png?v=1768965204,2,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,
pistachio-rose-creme-brulee,,,,,,,,,50ml,,,,,,,,,100.0,,0,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
pistachio-rose-creme-brulee,,,,,,,,,100ml,,,,,,,,,100.0,,-1,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
maison-veil-scent-plug-in,Maison Veil Scent Plug In,<p>Maison Veil Scent Plug In - covers 1000ft - includes 120 ml oil tank </p>,Maison Veil ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"",shoptok,true,Color,white,product.metafields.shopify.color-pattern,Scent,couture-veil-a-delicate-veil-of-luminous-florals-and-soft-musk-that-effortlessly-elevates-any-room,product.metafields.shopify.scent,,,,,0.0,shopify,20,deny,manual,120.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/IMG-7369.png?v=1758311576,1,"",false,,,,,white; black,,,,,,,,,,,couture-veil-a-delicate-veil-of-luminous-florals-and-soft-musk-that-effortlessly-elevates-any-room; solar-eclat-radiant-citrus-and-blooming-florals-create-a-bright-sunlit-atmosphere; eclat-marine-fresh-marine-accords-and-smooth-woods-evoke-the-serenity-of-an-ocean-breeze; nocturne-royale-an-opulent-fusion-of-oud-woods-and-musk-designed-for-timeless-sophistication; velours-osmanthus-for-a-more-french-luxury-feel-apricot-osmanthus-petals-soft-tea-and-white-musk-elegant-airy-and-sophisticated,,,,,,,lb,,30.00,active
